COMBUSTÍVEL;ANO;REGIÃO;ESTADO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;TOTAL
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;CEARÁ;34480;36759;37184;42111;41693,5;9339;8986;9023;10346,5;10669,299;10554;294653,829;43508,53
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;RIO GRANDE DO NORTE;48146,9;44505,9;43490,681;46602,033;44419;34257,65;35098,058;36327,5;35688,424;38883,73;37482;38507;483408,876
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;PARAÍBA;61;5;0;0;0;0;0;31;0;0;0;0;25
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;PERNAMBUCO;267;1672,5;17,5;15;74;30;280,5;233;57;35;86;380,5;197
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;SERGIPE;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO NORDESTE;BAHIA;0;30;113,5;32;556996,338;81868,25;99993,24;88680,5;90428;100092,398;93111,25;2644,2;3
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUDESTE;MINAS GERAIS;366934,587;340821,824;365861,815;332609,284;269735,938;4065396,087;306702,14;302930,209;339691,543;358587,308;367267,993;362135,491;352117,955
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUDESTE;ESPÍRITO SANTO;380,45;385;439;437,2;335;313;4988,105;491;412;435,255;401;505;454,2
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUDESTE;RIO DE JANEIRO;52102,783;55173,853;60744,132;55684,496;59242,192;54567,561;51753,704;650670,451;51079,286;45215,394;53503,103;54838,887;56765,06
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUDESTE;SÃO PAULO;243383,286;225957,688;252609,3;269849,972;238389,582;247533,601;221542,728;166342,111;2571963,491;155672,397;155739,098;176480,331;218463,397
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUL;PARANÁ;14536,469;6385,429;5102,1;6105,91;5983,5;5177,19;6030,7;6006,2;4591,6;105347,468;15511,9;13697,02;16219,45
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUL;SANTA CATARINA;74259,53;77533,197;63212,027;58397,379;64371,033;58968,2;60076,41;65169,67;63384,948;56960,332;775190,549;70003,703;62854,12
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO SUL;RIO GRANDE DO SUL;129263,354;175462,124;225364,134;160593,818;150950,633;155872,554;169451,792;157565,61;184139,041;183614,219;141112,68;1978805,959;145416
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;84477,19;87079,701;85387,11;88475,122;92675,46;82662,756;108033,75;111581,17;98243,662;103098,063;95601,968;73148,76;1110464,712
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO CENTRO-OESTE;MATO GROSSO;2381033,995;184968,651;214002,295;210521,598;179869,24;181582,21;200271,064;223852,383;218353,969;200372,669;228686,185;194002,03;144551,701
